                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.2427,                 5.1631,                 4.0747,                      0,                      0,                      0,                      0,                 5.4734,                 5.0765,                 4.1755,             0.00023174,             0.00023174,             0.00023174
                      2,                 3.6505,                 3.8589,                 3.3706,                      0,                      0,                      0,                      0,                 5.5626,                 5.1581,                 4.3017,             0.00044648,             0.00044648,             0.00044648
                      3,                 2.7275,                 3.1187,                 2.7023,                      0,                      0,                      0,                      0,                  4.934,                  4.944,                 3.8869,             0.00063767,             0.00063767,             0.00063767
                      4,                 2.3092,                 2.6138,                 2.3458,                0.22842,                0.42931,                0.28889,                 0.1224,                 2.2984,                 2.3639,                 2.3458,             0.00060797,             0.00060797,             0.00060797
                      5,                 2.0969,                 2.3398,                 2.0903,                0.31118,                0.58308,                0.36252,                0.20135,                 1.6119,                 1.9516,                  1.863,             0.00057263,             0.00057263,             0.00057263
                      6,                 1.9401,                 2.2405,                 1.9482,                0.34428,                 0.5829,                0.40083,                0.24662,                 1.4942,                 1.8798,                 1.7433,             0.00053728,             0.00053728,             0.00053728
                      7,                 1.8949,                 2.0341,                 1.8377,                0.33535,                0.53598,                0.47442,                0.29641,                 1.4006,                 1.7671,                 1.6788,             0.00050194,             0.00050194,             0.00050194
                      8,                 1.7834,                 2.0103,                 1.7615,                0.44161,                0.56597,                 0.5414,                0.35571,                 1.3069,                 1.6722,                 1.5599,              0.0004666,              0.0004666,              0.0004666
                      9,                  1.748,                 1.9251,                 1.7274,                0.42602,                0.63684,                0.58002,                0.37997,                 1.2979,                  1.536,                 1.5569,             0.00043126,             0.00043126,             0.00043126
                     10,                 1.6541,                 1.7395,                 1.6576,                 0.4856,                0.55685,                0.61443,                0.40152,                 1.2777,                 1.5538,                 1.5085,             0.00039591,             0.00039591,             0.00039591
                     11,                 1.4976,                 1.6246,                 1.6482,                0.46396,                 0.7482,                0.65023,                0.41787,                 1.2877,                 1.4016,                 1.4705,             0.00036057,             0.00036057,             0.00036057
                     12,                 1.4532,                 1.5475,                  1.597,                0.50968,                0.77984,                0.65699,                0.44555,                  1.171,                 1.3372,                 1.4044,             0.00032523,             0.00032523,             0.00032523
                     13,                  1.435,                  1.451,                 1.5752,                0.47922,                 0.7884,                0.68012,                0.46301,                 1.1884,                 1.2272,                 1.4156,             0.00028988,             0.00028988,             0.00028988
                     14,                 1.4081,                 1.4449,                 1.5322,                0.47917,                0.79194,                0.69735,                0.50559,                 1.0878,                  1.144,                 1.3263,             0.00025454,             0.00025454,             0.00025454
                     15,                 1.4026,                 1.3678,                 1.5087,                0.55391,                0.73324,                0.71027,                 0.4909,                 1.1166,                 1.1453,                 1.3376,              0.0002192,              0.0002192,              0.0002192
                     16,                 1.3796,                 1.3582,                 1.5236,                0.66508,                0.72694,                0.72974,                 0.5177,                 1.0952,                 1.0871,                 1.3451,             0.00018385,             0.00018385,             0.00018385
                     17,                 1.3294,                 1.2841,                    1.5,                  0.605,                 0.8229,                0.75115,                0.54979,                 1.0183,                 1.0015,                 1.2857,             0.00014851,             0.00014851,             0.00014851
                     18,                 1.3108,                 1.2101,                 1.4855,                0.57937,                0.80885,                0.74754,                0.53584,                 1.0377,                0.99282,                 1.2939,             0.00011317,             0.00011317,             0.00011317
                     19,                 1.3288,                   1.25,                   1.52,                0.59915,                0.82864,                 0.7774,                0.56188,                 1.0331,                0.96958,                 1.2833,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     20,                 1.2885,                 1.1954,                 1.4732,                0.62177,                  0.809,                0.76985,                0.57533,                0.99312,                0.98072,                 1.2732,             4.2483e-05,             4.2483e-05,             4.2483e-05
